id,name,gender,age,distance_km,duration_min,current_mode,has_car,has_bike,has_license,comfort_pref,cost_pref,env_pref,punctuality_pref,created_at
40,Hatem Trabelsi,F,29,16.6,41,Walk,1,0,1,0.64,0.48,0.82,0.76,2025-12-06
41,Nora Bouaziz,F,29,28.27,85,Bus,0,0,0,0.76,0.51,0.61,0.28,2025-12-06
42,Youssef Kchouk,M,20,11.89,40,Walk,0,0,1,0.5,0.23,0.69,0.31,2025-12-06
43,Hatem Zidi,F,29,28.86,89,Train,1,1,1,0.54,0.08,0.38,0.64,2025-12-06
44,Mouna Zidi,F,24,27.21,85,Bike,1,0,1,0.95,0.78,0.54,0.2,2025-12-06
45,Omar Kallel,F,21,6.28,24,Car,0,0,0,0.85,0.12,0.52,0.9,2025-12-06
46,Maya Bouaziz,M,26,2.55,7,Bike,1,0,1,0.91,0.59,0.85,0.52,2025-12-06
47,Karim Kchouk,M,20,3.47,11,Train,0,1,1,0.81,0.94,0.84,0.45,2025-12-06
48,Maya Trabelsi,F,22,1.04,3,Bike,1,1,1,0.11,0.88,0.83,0.56,2025-12-06
49,Salah Kchouk,F,20,3.29,10,Bike,0,1,1,0.15,0.28,0.01,0.17,2025-12-06
50,Mouna Fakhfakh,F,24,20.65,70,Train,0,0,0,0.53,0.85,0.75,0.61,2025-12-06
51,Karim Kallel,M,22,2.6,9,Scooter,1,0,1,0.25,0.0,0.76,0.36,2025-12-06
52,Mouna Mezghani,F,26,9.91,38,Bike,0,0,1,0.48,0.02,0.68,0.9,2025-12-06
53,Nora Bouaziz,M,24,25.42,69,Bus,0,0,1,0.39,0.6,0.76,0.17,2025-12-06
54,Maya Jabari,F,19,1.19,4,Bus,1,0,1,0.55,0.36,0.84,0.51,2025-12-06
55,Ines Kallel,M,21,24.53,79,Bike,1,0,1,0.75,0.39,0.47,0.6,2025-12-06
56,Maya Zidi,F,26,8.81,25,Scooter,0,0,1,0.72,0.56,0.5,0.03,2025-12-06
57,Hatem BenBey,F,29,3.99,12,Car,0,0,1,0.52,0.19,0.12,0.36,2025-12-06
58,Sami BenBey,F,19,21.05,83,Train,0,1,0,0.82,0.21,0.39,0.73,2025-12-06
59,Safa Zidi,M,27,19.05,61,Bus,0,0,1,0.43,0.48,0.64,0.82,2025-12-06
60,Nora Bouaziz,M,26,26.39,78,Car,0,0,1,0.9,0.75,0.78,0.31,2025-12-06
61,Ali Kallel,F,27,22.18,76,Bike,0,1,0,0.07,0.62,0.22,0.8,2025-12-06
62,Salah Jabari,M,22,24.2,69,Car,1,0,1,0.95,0.3,0.14,0.97,2025-12-06
63,Omar Kallel,M,19,8.82,23,Walk,0,1,1,0.65,0.43,0.66,0.86,2025-12-06
64,Maya Mezghani,M,21,5.73,15,Bus,0,0,0,0.38,0.17,0.0,0.12,2025-12-06
65,Nora Kchouk,F,29,22.64,60,Bike,0,0,0,0.2,0.07,0.18,0.74,2025-12-06
66,Youssef Haddad,F,29,24.3,66,Train,1,1,1,0.48,0.78,0.03,0.32,2025-12-06
67,Leila Haddad,F,24,29.72,80,Scooter,0,1,0,0.19,0.27,0.17,0.99,2025-12-06
68,Sami Jabari,M,29,12.67,43,Bike,0,1,1,0.17,0.18,0.18,0.49,2025-12-06
69,Ines Fakhfakh,M,30,11.47,31,Train,0,0,0,0.62,0.69,0.39,0.12,2025-12-06
70,Leila Jabari,M,25,23.4,70,Scooter,0,0,1,0.52,0.62,0.4,0.73,2025-12-06
71,Salah Mansour,F,20,10.55,40,Scooter,0,0,0,0.67,0.63,0.87,0.32,2025-12-06
72,Salah Mansour,F,18,27.96,89,Bike,1,0,1,0.93,0.23,0.51,1.0,2025-12-06
73,Omar Kallel,M,21,25.82,90,Car,1,1,1,0.53,0.23,0.72,0.98,2025-12-06
74,Mouna Fakhfakh,M,19,13.16,36,Car,0,0,1,0.58,0.22,0.1,0.66,2025-12-06
75,Youssef Trabelsi,M,25,22.65,63,Scooter,0,1,1,0.09,0.17,0.23,0.13,2025-12-06
76,Safa BenBey,M,21,22.76,58,Car,1,0,1,0.72,0.66,0.7,0.69,2025-12-06
77,Hatem Trabelsi,M,19,3.54,9,Walk,1,0,1,0.4,0.85,0.05,0.09,2025-12-06
78,Mouna Kchouk,F,23,27.13,79,Scooter,0,0,0,0.98,0.72,0.49,0.03,2025-12-06
79,Mouna Kchouk,F,23,15.4,42,Scooter,0,1,0,0.82,0.79,0.6,0.82,2025-12-06
80,Nora Said,M,27,24.88,65,Train,0,1,0,0.52,0.4,0.6,0.21,2025-12-06
81,Ali Mansour,M,21,9.94,26,Car,0,1,0,0.12,0.65,0.02,0.38,2025-12-06
82,Nora Said,F,23,26.92,85,Scooter,1,1,1,0.86,0.35,0.32,0.97,2025-12-06
83,Youssef Fakhfakh,F,30,11.98,33,Walk,1,1,1,0.8,0.53,0.64,0.34,2025-12-06
84,Leila Fakhfakh,M,19,0.82,2,Train,1,1,1,0.18,0.48,0.15,0.3,2025-12-06
85,Hatem BenBey,F,27,27.21,88,Bike,0,0,0,0.3,0.18,0.7,0.92,2025-12-06
86,Maya Jabari,F,29,3.19,11,Scooter,0,0,1,0.79,0.39,0.75,0.11,2025-12-06
87,Ali Kchouk,F,19,9.92,25,Walk,1,0,1,0.19,0.96,0.98,0.76,2025-12-06
88,Ines Bouaziz,M,27,28.53,105,Bus,1,1,1,0.92,0.25,0.21,0.99,2025-12-06
89,Safa Kchouk,M,21,28.54,98,Walk,0,1,0,0.42,0.13,0.83,0.9,2025-12-06
90,Omar Trabelsi,F,25,17.42,45,Walk,1,0,1,0.09,0.42,0.52,0.65,2025-12-06
91,Leila Mansour,M,24,19.14,72,Train,1,1,1,0.82,0.79,0.37,0.31,2025-12-06
92,Mouna Mezghani,F,29,13.73,53,Bike,0,1,0,0.37,0.58,0.12,0.25,2025-12-06
93,Raja Jabari,F,26,9.15,23,Bus,0,0,0,0.53,0.68,0.74,0.82,2025-12-06
94,Karim Bouaziz,M,25,10.2,29,Car,0,0,1,0.11,0.19,0.24,0.88,2025-12-06
95,Ines Haddad,M,22,20.34,75,Car,0,1,1,0.0,0.62,0.37,0.53,2025-12-06
96,Ines Trabelsi,M,30,22.7,82,Walk,0,0,0,0.64,0.32,0.06,0.24,2025-12-06
97,Hatem Kchouk,M,19,23.85,66,Train,1,1,1,0.52,0.83,0.8,0.11,2025-12-06
98,Leila Kchouk,M,22,23.79,66,Train,0,0,0,0.59,0.63,0.77,0.09,2025-12-06
99,Ines Said,F,25,3.19,9,Car,0,1,0,0.79,0.2,0.73,0.72,2025-12-06
100,Sami Haddad,F,27,15.09,48,Bus,0,1,1,0.65,0.06,0.3,0.42,2025-12-06
101,Omar Haddad,F,26,2.2,7,Bike,0,1,0,0.17,0.04,0.17,0.91,2025-12-06
102,Ines Fakhfakh,F,29,16.71,51,Bus,1,0,1,0.36,0.37,0.64,0.74,2025-12-06
103,Raja Said,M,29,13.53,43,Scooter,0,1,0,0.91,0.27,0.5,0.19,2025-12-06
104,Omar Mezghani,F,29,26.69,96,Scooter,0,1,0,0.77,0.65,0.18,0.61,2025-12-06
105,Raja Trabelsi,M,30,10.85,27,Bike,1,0,1,0.56,0.5,0.69,0.44,2025-12-06
106,Omar Bouaziz,M,26,3.95,11,Car,0,1,0,0.26,0.27,0.99,0.58,2025-12-06
107,Sami BenBey,M,30,4.72,16,Bike,0,0,1,0.3,0.15,0.75,0.74,2025-12-06
108,Sami Said,F,30,22.96,88,Train,0,0,0,0.73,0.13,0.74,0.81,2025-12-06
109,Ali Trabelsi,M,18,18.74,61,Scooter,0,0,0,0.85,0.86,0.95,0.84,2025-12-06
110,Karim Mezghani,F,26,3.48,11,Walk,0,0,0,0.67,0.24,0.2,0.25,2025-12-06
111,Hatem Trabelsi,F,24,2.98,7,Walk,0,0,1,0.81,0.65,0.57,0.03,2025-12-06
112,Safa Fakhfakh,M,26,21.18,67,Car,0,1,0,0.77,0.81,0.98,0.74,2025-12-06
113,Safa Haddad,F,25,2.65,8,Train,1,0,1,0.15,0.61,0.17,0.11,2025-12-06
114,Mouna Kchouk,F,18,24.74,70,Bus,0,1,0,0.42,0.86,0.7,0.31,2025-12-06
115,Youssef Fakhfakh,M,29,21.33,61,Train,0,0,1,0.15,0.39,0.59,0.0,2025-12-06
116,Mouna Bouaziz,F,25,2.9,8,Walk,0,0,0,0.24,0.96,0.59,0.68,2025-12-06
117,Ines Said,M,25,3.0,7,Walk,0,0,1,0.87,0.13,0.7,0.17,2025-12-06
118,Nora Kallel,M,28,29.61,88,Scooter,0,1,1,0.47,0.1,0.93,0.66,2025-12-06
119,Ines Jabari,M,20,11.54,32,Train,0,0,1,0.54,0.66,0.78,0.99,2025-12-06
120,Karim Kallel,F,18,11.43,34,Train,1,1,1,0.18,0.94,0.06,0.07,2025-12-06
121,Karim Bouaziz,F,25,24.48,65,Walk,0,1,1,0.31,0.81,0.85,0.08,2025-12-06
122,Nora Kchouk,M,20,28.44,109,Bus,0,1,1,0.23,0.08,0.23,0.34,2025-12-06
123,Maya Zidi,F,20,29.59,100,Car,0,0,0,0.21,0.28,0.38,0.87,2025-12-06
124,Youssef Fakhfakh,M,18,22.72,79,Car,1,0,1,0.64,0.93,0.46,0.22,2025-12-06
125,Youssef Trabelsi,M,28,11.6,42,Train,0,1,1,0.26,0.25,0.48,0.36,2025-12-06
126,Sami Kallel,M,22,2.96,9,Car,0,0,1,0.63,0.78,0.44,0.07,2025-12-06
127,Ali Zidi,F,27,23.43,61,Walk,0,1,1,0.06,0.83,0.94,0.76,2025-12-06
128,Raja Said,F,24,16.97,56,Walk,1,0,1,0.14,0.5,0.71,0.41,2025-12-06
129,Ines Kallel,M,27,13.01,43,Train,0,1,0,0.27,0.39,0.63,0.76,2025-12-06
130,Salah Kallel,F,26,27.24,98,Train,1,1,1,0.6,0.45,0.05,0.9,2025-12-06
131,Raja Trabelsi,F,29,3.78,11,Scooter,0,1,1,0.68,0.23,0.9,0.23,2025-12-06
132,Karim Kchouk,M,24,15.03,40,Train,0,0,0,0.44,0.89,0.91,0.81,2025-12-06
133,Raja Kallel,M,26,0.83,2,Bus,0,1,0,0.45,0.45,0.78,0.06,2025-12-06
134,Ali BenBey,M,25,14.33,43,Car,0,0,0,0.72,0.88,0.01,0.9,2025-12-06
135,Hatem Zidi,M,29,2.16,7,Train,0,0,0,0.02,0.11,0.06,0.65,2025-12-06
136,Ali Fakhfakh,F,19,4.01,13,Bike,0,1,1,0.34,0.99,0.23,0.87,2025-12-06
137,Sami Bouaziz,M,18,3.97,12,Scooter,1,1,1,0.82,0.44,0.13,0.0,2025-12-06
138,Maya Mezghani,M,24,19.65,78,Bike,0,1,1,0.6,0.05,0.4,0.17,2025-12-06
139,Sami Fakhfakh,F,24,22.51,76,Walk,0,1,0,0.34,0.04,0.92,0.39,2025-12-06
140,Mouna Jabari,F,25,17.71,50,Car,0,0,0,0.91,0.75,0.47,0.38,2025-12-06
141,Salah Said,M,22,28.88,76,Train,0,0,0,0.77,0.66,0.01,0.23,2025-12-06
142,Youssef Kallel,M,20,11.56,31,Bike,0,1,0,0.26,0.8,0.28,0.38,2025-12-06
143,Safa Mezghani,M,29,8.93,25,Car,0,0,0,0.65,0.11,0.04,0.13,2025-12-06
144,Safa Mansour,M,25,26.12,71,Walk,0,0,0,0.6,0.04,0.04,0.41,2025-12-06
145,Sami Trabelsi,F,23,7.1,19,Bus,1,0,1,0.4,0.51,0.28,0.8,2025-12-06
146,Ali Kchouk,F,28,28.92,84,Scooter,1,0,1,0.37,0.39,0.28,0.48,2025-12-06
147,Nora Zidi,M,20,0.86,2,Car,0,0,1,0.34,0.46,0.79,0.02,2025-12-06
148,Nora Mansour,M,18,29.11,111,Car,0,0,1,0.62,0.99,0.97,0.42,2025-12-06
149,Youssef Jabari,M,20,1.77,4,Bus,0,0,1,0.44,0.97,0.37,0.03,2025-12-06
150,Raja Kchouk,M,22,26.79,88,Car,0,0,0,0.83,0.94,0.43,0.97,2025-12-06
151,Maya Kchouk,F,20,16.07,50,Walk,0,1,0,0.67,0.78,0.84,0.13,2025-12-06
152,Ali BenBey,F,18,29.79,118,Walk,0,0,0,0.07,0.35,0.27,0.71,2025-12-06
153,Nora Jabari,M,22,2.68,7,Bus,1,0,1,0.64,0.41,0.16,0.97,2025-12-06
154,Omar Trabelsi,M,27,16.84,52,Scooter,0,1,1,0.27,0.55,0.85,0.83,2025-12-06
155,Sami Kallel,M,24,29.09,115,Train,0,0,0,0.59,0.83,0.05,0.7,2025-12-06
156,Sami Fakhfakh,M,24,15.93,60,Bike,0,1,0,0.68,0.07,0.62,0.84,2025-12-06
157,Youssef Haddad,M,28,19.07,71,Train,0,1,1,0.23,0.42,0.56,0.98,2025-12-06
158,Nora Haddad,F,26,21.02,60,Car,0,0,1,0.46,0.08,0.35,0.62,2025-12-06
159,Leila Mezghani,F,27,13.91,38,Bike,0,0,1,0.19,0.51,0.32,0.56,2025-12-06
160,Sami Trabelsi,F,27,19.01,66,Bus,0,1,0,0.05,0.9,0.77,0.63,2025-12-06
161,Youssef Fakhfakh,M,29,17.74,69,Bus,1,1,1,0.38,0.78,0.09,0.53,2025-12-06
162,Ali BenBey,F,30,27.08,90,Scooter,0,0,1,0.36,0.23,0.24,0.64,2025-12-06
163,Maya Fakhfakh,F,20,1.84,6,Bike,0,1,0,1.0,0.98,0.73,0.45,2025-12-06
164,Hatem BenBey,F,24,8.79,25,Walk,0,0,0,0.45,0.67,0.55,0.22,2025-12-06
165,Ali Kallel,F,18,28.54,104,Bike,0,1,0,0.33,0.01,0.13,0.12,2025-12-06
166,Mouna Mansour,M,21,26.76,74,Car,0,0,0,0.58,0.26,0.88,0.07,2025-12-06
167,Youssef Mezghani,F,30,13.94,41,Walk,1,1,1,0.09,0.26,0.39,0.26,2025-12-06
168,Sami Mansour,F,21,18.79,58,Bus,1,1,1,0.96,0.07,0.83,0.05,2025-12-06
169,Raja Haddad,M,22,8.68,28,Bike,1,1,1,0.63,0.96,0.79,0.57,2025-12-06
170,Nora BenBey,F,24,6.05,17,Train,0,0,1,0.75,0.48,0.62,0.28,2025-12-06
171,Nora Bouaziz,F,24,14.18,37,Scooter,0,0,1,0.17,0.9,0.49,0.82,2025-12-06
172,Safa Mezghani,F,30,10.92,37,Train,0,0,0,0.41,0.32,0.98,0.07,2025-12-06
173,Leila Mansour,M,28,17.72,51,Scooter,0,0,0,0.42,0.13,0.14,0.23,2025-12-06
174,Karim Jabari,F,30,2.79,9,Car,1,0,1,0.82,0.47,0.73,0.73,2025-12-06
175,Safa Fakhfakh,M,21,29.24,79,Train,0,1,1,0.0,0.11,0.19,0.6,2025-12-06
176,Maya Jabari,F,30,29.59,95,Bike,0,0,1,0.3,0.49,0.34,0.06,2025-12-06
177,Youssef Haddad,F,24,21.1,69,Bike,0,0,0,0.98,0.92,0.31,0.88,2025-12-06
178,Sami Bouaziz,F,28,16.31,42,Train,0,1,1,0.47,0.52,0.95,0.88,2025-12-06
179,Sami BenBey,F,20,9.63,28,Bike,0,1,0,0.38,0.62,0.97,0.33,2025-12-06
180,Salah Jabari,M,23,24.51,66,Car,0,1,1,0.12,0.16,0.18,0.34,2025-12-06
181,Ines BenBey,M,29,20.7,53,Walk,0,1,1,0.97,0.04,0.02,0.99,2025-12-06
182,Karim Zidi,M,19,5.3,21,Car,1,0,1,0.02,0.11,0.72,0.63,2025-12-06
183,Raja BenBey,F,27,27.37,81,Scooter,1,0,1,0.74,0.6,0.42,0.53,2025-12-06
184,Salah Mezghani,F,30,24.76,91,Car,0,1,1,0.77,0.1,0.09,0.84,2025-12-06
185,Ines Fakhfakh,M,26,28.52,82,Scooter,0,1,0,0.24,0.38,0.68,0.29,2025-12-06
186,Mouna BenBey,F,22,21.91,77,Bike,0,0,1,0.67,0.55,0.55,0.43,2025-12-06
187,Ines Trabelsi,F,23,18.6,67,Walk,0,1,0,0.09,0.39,0.98,0.27,2025-12-06
188,Hatem Haddad,F,29,12.84,43,Bike,0,0,1,0.26,0.16,0.23,0.79,2025-12-06
189,Ali Said,F,29,28.02,89,Bus,0,0,1,0.79,0.27,0.4,0.57,2025-12-06
190,Ali Kchouk,M,29,26.05,81,Bike,0,0,1,0.86,0.93,0.54,0.66,2025-12-06
191,Hatem Kallel,M,29,1.83,5,Scooter,0,0,0,0.61,0.68,0.79,0.25,2025-12-06
192,Nora Trabelsi,M,21,1.28,4,Bike,0,0,1,0.51,0.5,0.55,0.22,2025-12-06
193,Salah Kallel,F,28,11.61,43,Bike,0,0,1,0.16,0.01,0.61,0.49,2025-12-06
194,Salah Said,F,27,24.41,96,Walk,1,1,1,0.06,0.99,0.23,0.74,2025-12-06
195,Raja Said,F,24,29.62,79,Bike,1,0,1,0.12,0.67,0.85,0.53,2025-12-06
196,Ali Mansour,F,29,4.94,17,Walk,0,0,0,0.23,0.32,0.43,0.03,2025-12-06
197,Maya Said,F,26,18.03,70,Train,1,1,1,0.34,0.88,0.14,0.87,2025-12-06
198,Salah Fakhfakh,M,24,11.74,32,Bus,0,1,0,0.38,0.26,0.66,0.06,2025-12-06
199,Omar Bouaziz,M,18,29.11,75,Walk,1,1,1,0.35,0.54,0.22,0.96,2025-12-06
200,Sami Kchouk,F,18,25.34,91,Scooter,1,1,1,0.24,0.64,0.1,0.03,2025-12-06
